ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.01,-9999
1,TA,ERA_INTERCEPT,-0.26,-9999
1,TA,ERA_RMSE,1.07,-9999
1,TA,ERA_CORRELATION,0.92,-9999
2,PA,ERA_SLOPE,1.01,-9999
2,PA,ERA_INTERCEPT,-0.60,-9999
2,PA,ERA_RMSE,0.04,-9999
2,PA,ERA_CORRELATION,0.99,-9999
3,VPD,ERA_SLOPE,1.02,-9999
3,VPD,ERA_INTERCEPT,-0.07,-9999
3,VPD,ERA_RMSE,2.88,-9999
3,VPD,ERA_CORRELATION,0.83,-9999
4,WS,ERA_SLOPE,0.32,-9999
4,WS,ERA_INTERCEPT,0.90,-9999
4,WS,ERA_RMSE,0.72,-9999
4,WS,ERA_CORRELATION,0.27,-9999
5,P,ERA_SLOPE,-9999,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,0.97,-9999
6,SW_IN,ERA_INTERCEPT,12.90,-9999
6,SW_IN,ERA_RMSE,116.40,-9999
6,SW_IN,ERA_CORRELATION,0.87,-9999
7,LW_IN,ERA_SLOPE,-9999,-9999
7,LW_IN,ERA_INTERCEPT,-9999,-9999
7,LW_IN,ERA_RMSE,-9999,-9999
7,LW_IN,ERA_CORRELATION,-9999,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,-0.02,-9999
8,LW_IN_JSB,ERA_RMSE,21.80,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.34,-9999
